https://184.23.168.12:443, 延迟: 1627.34ms, 国家: 🇺🇸 美国, 🏠 住宅IP
socks5://123456:123456@95.183.54.103:1080, 延迟: 1676.66ms, 国家: 🇨🇭 瑞士, 🏠 住宅IP
https://175.178.17.115:45001, 延迟: 1736.18ms, 国家: 🇨🇳 中国, 🏠 住宅IP
socks5://123456:123456@46.166.143.132:1080, 延迟: 1749.49ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://43.163.107.161:3389, 延迟: 1758.99ms, 国家: 🇸🇬 新加坡, 🏠 住宅IP
https://37.114.55.205:443, 延迟: 1785.17ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://174.139.126.160:343, 延迟: 1813.01ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://82.65.162.76:443, 延迟: 1881.86ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://185.244.193.162:443, 延迟: 1909.75ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://212.166.19.41:1443, 延迟: 2007.16ms, 国家: 🇧🇪 比利时, 🏠 住宅IP
https://195.192.209.130:443, 延迟: 2043.79ms, 国家: 🇦🇹 奥地利, 🏠 住宅IP
https://141.11.1.39:443, 延迟: 2143.81ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://174.139.126.31:443, 延迟: 2155.61ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://213.211.182.65:443, 延迟: 2161.61ms, 国家: 🇧🇪 比利时, 🏠 住宅IP
https://205.185.125.136:8888, 延迟: 2185.61ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://78.108.216.48:9001, 延迟: 2198.78ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://175.178.17.115:45006, 延迟: 2213.14ms, 国家: 🇨🇳 中国, 🏠 住宅IP
https://193.25.2.239:443, 延迟: 2245.51ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://87.191.161.88:443, 延迟: 2281.88ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://194.195.87.167:8080, 延迟: 2295.84ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://81.92.200.84:443, 延迟: 2322.96ms, 国家: 🇬🇧 英国, 🏠 住宅IP
https://82.64.220.193:443, 延迟: 2343.21ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://5.189.138.208:443, 延迟: 2348.58ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://91.227.97.113:443, 延迟: 2363.13ms, 国家: 🇨🇿 捷克共和国, 🏠 住宅IP
https://43.155.94.8:2000, 延迟: 2366.28ms, 国家: 🇭🇰 香港, 🏠 住宅IP
https://103.127.250.158:2443, 延迟: 2368.59ms, 国家: 🇿🇦 南非, 🏠 住宅IP
https://196.10.92.34:2443, 延迟: 2373.45ms, 国家: 🇿🇦 南非, 🏠 住宅IP
https://82.196.220.217:443, 延迟: 2382.86ms, 国家: 🇳🇴 挪威, 🏠 住宅IP
https://103.80.87.243:443, 延迟: 2393.76ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
socks5://123456:123456@46.166.143.38:1080, 延迟: 2419.33ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://43.135.168.220:443, 延迟: 2424.71ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://194.195.87.167:8081, 延迟: 2435.24ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://185.49.69.2:9060, 延迟: 2460.40ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://46.29.140.237:443, 延迟: 2466.69ms, 国家: 🇭🇺 匈牙利, 🏠 住宅IP
https://185.232.22.130:443, 延迟: 2524.07ms, 国家: 🇺🇸 美国, 🏠 住宅IP
socks5://:@185.44.211.60:8880, 延迟: 2528.21ms, 国家: 🇦🇹 奥地利, 🏠 住宅IP
https://185.133.105.38:443, 延迟: 2549.97ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://73.102.30.66:443, 延迟: 2561.53ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://23.148.145.199:443, 延迟: 2639.42ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://43.131.248.93:1010, 延迟: 2654.64ms, 国家: 🇰🇷 韩国, 🏠 住宅IP
https://88.135.16.18:443, 延迟: 2789.69ms, 国家: 🇱🇹 立陶宛, 🏠 住宅IP
https://192.225.226.3:9993, 延迟: 2811.92ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://82.135.40.5:443, 延迟: 2846.79ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://64.32.22.55:343, 延迟: 2867.59ms, 国家: 🇺🇸 美国, 🏠 住宅IP
socks5://test123:test123@185.145.99.41:1080, 延迟: 2876.74ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://70.90.108.180:443, 延迟: 2947.82ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://185.149.37.14:443, 延迟: 2952.85ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://64.32.22.18:1446, 延迟: 2959.38ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://5.45.107.157:443, 延迟: 2967.43ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://185.197.163.116:9060, 延迟: 3025.94ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://217.154.70.160:443, 延迟: 3043.18ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://217.145.100.202:443, 延迟: 3054.45ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://193.176.129.122:443, 延迟: 3075.68ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://195.234.21.25:443, 延迟: 3100.76ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://23.94.26.237:10444, 延迟: 3132.82ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://79.133.217.236:443, 延迟: 3157.36ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://202.61.202.235:443, 延迟: 3242.24ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://149.57.28.10:443, 延迟: 3247.02ms, 国家: 🇨🇦 加拿大, 🏠 住宅IP
https://45.81.235.197:443, 延迟: 3268.49ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://85.214.115.248:443, 延迟: 3271.66ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://149.210.158.107:5001, 延迟: 3296.15ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://193.58.172.76:443, 延迟: 3307.28ms, 国家: 🇧🇪 比利时, 🏠 住宅IP
https://78.63.76.65:443, 延迟: 3329.35ms, 国家: 🇱🇹 立陶宛, 🏠 住宅IP
https://152.53.33.60:443, 延迟: 3348.92ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://37.221.193.79:443, 延迟: 3375.87ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://147.45.124.76:995, 延迟: 3377.95ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://79.133.217.235:443, 延迟: 3412.88ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://213.163.151.122:443, 延迟: 3413.48ms, 国家: 🇸🇪 瑞典, 🏠 住宅IP
https://98.126.214.201:1446, 延迟: 3413.98ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://109.248.32.15:8002, 延迟: 3415.44ms, 国家: 🇰🇿 哈萨克斯坦, 🏠 住宅IP
https://95.208.158.169:443, 延迟: 3432.88ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://62.143.193.54:443, 延迟: 3449.56ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://207.180.238.149:443, 延迟: 3451.55ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://83.89.249.218:443, 延迟: 3493.72ms, 国家: 🇩🇰 丹麦, 🏠 住宅IP
https://85.158.0.151:443, 延迟: 3552.01ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://212.99.26.186:443, 延迟: 3555.49ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://109.248.149.34:443, 延迟: 3565.99ms, 国家: 🇱🇻 拉脱维亚, 🏠 住宅IP
https://149.210.243.125:443, 延迟: 3580.18ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
socks5://qwe:qwe@172.245.112.85:1080, 延迟: 3583.53ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://107.173.122.188:9213, 延迟: 3591.00ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://150.109.236.35:443, 延迟: 3622.80ms, 国家: 🇰🇷 韩国, 🏠 住宅IP
https://82.218.239.41:443, 延迟: 3627.87ms, 国家: 🇦🇹 奥地利, 🏠 住宅IP
https://85.134.31.16:443, 延迟: 3635.75ms, 国家: 🇫🇮 芬兰, 🏠 住宅IP
https://207.204.53.45:8443, 延迟: 3655.16ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://107.175.49.151:443, 延迟: 3667.66ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://87.106.210.56:443, 延迟: 3709.86ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://78.108.216.48:8001, 延迟: 3758.89ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://217.154.80.143:443, 延迟: 3758.98ms, 国家: 🇬🇧 英国, 🏠 住宅IP
https://190.113.112.147:443, 延迟: 3768.46ms, 国家: 🇨🇷 哥斯达黎加, 🏠 住宅IP
https://207.204.53.240:8443, 延迟: 3771.04ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://207.180.220.37:8888, 延迟: 3772.39ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://146.83.81.136:443, 延迟: 3789.08ms, 国家: 🇨🇱 智利, 🏠 住宅IP
https://181.191.209.142:443, 延迟: 3796.17ms, 国家: 🇧🇷 巴西, 🏠 住宅IP
https://89.250.70.26:443, 延迟: 3825.29ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://201.90.183.249:443, 延迟: 3835.14ms, 国家: 🇧🇷 巴西, 🏠 住宅IP
https://46.29.166.134:1446, 延迟: 3838.39ms, 国家: 🇷🇺 俄罗斯, 🏠 住宅IP
https://79.133.217.232:443, 延迟: 3839.75ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://85.221.245.114:443, 延迟: 3846.38ms, 国家: 🇵🇱 波兰, 🏠 住宅IP
https://78.108.216.48:8443, 延迟: 3848.07ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://141.11.95.158:20600, 延迟: 3861.44ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://154.40.57.237:18888, 延迟: 3872.72ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://188.149.123.87:8181, 延迟: 3873.91ms, 国家: 🇸🇪 瑞典, 🏠 住宅IP
https://195.192.209.130:9443, 延迟: 3910.14ms, 国家: 🇦🇹 奥地利, 🏠 住宅IP
https://171.34.197.139:443, 延迟: 3938.29ms, 国家: 🇨🇳 中国, 🏠 住宅IP
https://217.154.67.210:443, 延迟: 3950.80ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://203.12.10.135:443, 延迟: 3961.68ms, 国家: 🇦🇺 澳大利亚, 🏠 住宅IP
https://77.21.86.195:443, 延迟: 3962.30ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://144.91.90.109:443, 延迟: 3965.01ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://217.160.25.90:443, 延迟: 4002.38ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://87.238.253.66:443, 延迟: 4043.87ms, 国家: 🇩🇰 丹麦, 🏠 住宅IP
https://91.86.168.39:443, 延迟: 4056.49ms, 国家: 🇧🇪 比利时, 🏠 住宅IP
https://207.204.53.23:8443, 延迟: 4061.64ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://141.2.164.64:443, 延迟: 4073.54ms, 国家: 🇩🇪 德国, 🏠 住宅IP
https://118.184.157.67:3443, 延迟: 4082.61ms, 国家: 🇦🇪 阿拉伯联合酋长国, 🏠 住宅IP
https://81.171.24.164:443, 延迟: 4122.07ms, 国家: 🇳🇱 荷兰, 🏠 住宅IP
https://173.212.253.71:443, 延迟: 4215.97ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://193.49.168.97:443, 延迟: 4258.03ms, 国家: 🇫🇷 法国, 🏠 住宅IP
https://198.71.61.207:443, 延迟: 4351.58ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://185.81.114.179:25010, 延迟: 4361.89ms, 国家: 🇸🇪 瑞典, 🏠 住宅IP
https://174.139.126.160:1446, 延迟: 4372.64ms, 国家: 🇺🇸 美国, 🏠 住宅IP
https://118.127.59.126:12443, 延迟: 4424.37ms, 国家: 🇦🇺 澳大利亚, 🏠 住宅IP
https://172.245.17.179:7443, 延迟: 4432.49ms, 国家: 🇺🇸 美国, 🏠 住宅IP
